epoch,train_loss,val_loss
1,21.161601185798645,33.036653117129674
2,12.24618365083422,19.83636640247546
3,11.481285503932408,15.219152400368138
4,10.72406303031104,18.720661464490387
5,10.49602986233575,14.644713853534899
6,10.047199530260903,19.04823865388569
7,9.548700485910688,13.172826516000848
8,9.144189655780792,12.179552580180921
9,8.985305428504944,16.10477778786107
10,8.535817103726524,13.187339130200838
11,8.631248465606145,12.005327927438836
12,8.09512311220169,12.580077974419845
13,7.974546151501792,11.368136807491904
14,7.9327148113931925,11.423704398305793
15,7.423317721911839,11.647733738547878
16,7.491326698235103,12.131535479896947
17,6.946021020412445,11.766641315660978
18,6.974057665893009,11.508035986047043
19,6.826705140726907,11.670670760305304
20,7.01550373009273,11.963639309531764
21,6.625435156481607,11.211281826621608
22,6.733193865844181,11.31258417430677
23,6.564294304166522,11.496641711184854
24,6.191448058400836,11.131827655591463
25,6.19506299495697,11.766710431952225
26,6.454665686403002,11.946270139593826
27,5.807965691600527,11.322977894230894
28,5.666742593050003,12.826150241651034
29,5.742516355855124,11.381585321928325
